14:00:08:671 -> Mic0:  0.209 Mic1:  0.164 Mic2:  0.185 Mic3:  0.122
14:00:08:771 -> Mic0:  0.274 Mic1:  0.188 Mic2:  0.183 Mic3:  0.161
14:00:08:871 -> Mic0:  0.126 Mic1:  0.134 Mic2:  0.151 Mic3:  0.111
14:00:08:971 -> Mic0:  0.148 Mic1:  0.153 Mic2:  0.150 Mic3:  0.136
14:00:09:075 -> Mic0:  0.178 Mic1:  0.197 Mic2:  0.187 Mic3:  0.173
14:00:09:177 -> Mic0:  0.197 Mic1:  0.106 Mic2:  0.201 Mic3:  0.139
14:00:09:276 -> Mic0:  0.202 Mic1:  0.127 Mic2:  0.147 Mic3:  0.120
14:00:09:381 -> Mic0:  0.237 Mic1:  0.213 Mic2:  0.147 Mic3:  0.137
14:00:09:483 -> Mic0:  0.196 Mic1:  0.182 Mic2:  0.153 Mic3:  0.111
14:00:09:583 -> Mic0:  0.157 Mic1:  0.142 Mic2:  0.186 Mic3:  0.131
14:00:09:688 -> Mic0:  0.156 Mic1:  0.246 Mic2:  0.154 Mic3:  0.127
14:00:09:791 -> Mic0:  0.249 Mic1:  0.327 Mic2:  0.223 Mic3:  0.115
14:00:09:889 -> Mic0:  0.150 Mic1:  0.131 Mic2:  0.235 Mic3:  0.116
14:00:09:990 -> Mic0:  0.198 Mic1:  0.144 Mic2:  0.207 Mic3:  0.093
14:00:10:089 -> Mic0:  0.094 Mic1:  0.138 Mic2:  0.178 Mic3:  0.088
14:00:10:194 -> Mic0:  0.154 Mic1:  0.234 Mic2:  0.236 Mic3:  0.087
14:00:10:296 -> Mic0:  0.218 Mic1:  0.125 Mic2:  0.210 Mic3:  0.148
14:00:10:396 -> Mic0:  0.198 Mic1:  0.203 Mic2:  0.192 Mic3:  0.113
14:00:10:501 -> Mic0:  0.119 Mic1:  1.344 Mic2:  0.127 Mic3:  0.081
14:00:10:603 -> Mic0:  0.209 Mic1:  0.381 Mic2:  0.146 Mic3:  0.160
14:00:10:703 -> Mic0:  0.154 Mic1:  0.132 Mic2:  0.173 Mic3:  0.102
14:00:10:807 -> Mic0:  0.303 Mic1:  0.118 Mic2:  0.221 Mic3:  0.111
14:00:10:909 -> Mic0:  0.157 Mic1:  0.149 Mic2:  0.187 Mic3:  0.158
14:00:11:008 -> Mic0:  0.262 Mic1:  0.140 Mic2:  0.195 Mic3:  0.072
14:00:11:108 -> Mic0:  0.124 Mic1:  0.134 Mic2:  0.190 Mic3:  0.099
14:00:11:208 -> Mic0:  0.195 Mic1:  0.141 Mic2:  0.198 Mic3:  0.118
14:00:11:313 -> Mic0:  0.185 Mic1:  0.169 Mic2:  0.179 Mic3:  0.109
14:00:11:415 -> Mic0:  0.142 Mic1:  0.097 Mic2:  0.191 Mic3:  0.108
14:00:11:514 -> Mic0:  0.200 Mic1:  0.214 Mic2:  0.236 Mic3:  0.168
14:00:11:620 -> Mic0:  0.141 Mic1:  0.119 Mic2:  0.166 Mic3:  0.089
14:00:11:722 -> Mic0:  0.131 Mic1:  0.154 Mic2:  0.173 Mic3:  0.139
14:00:11:822 -> Mic0:  0.177 Mic1:  0.152 Mic2:  0.161 Mic3:  0.127
14:00:11:929 -> Mic0:  0.146 Mic1:  0.140 Mic2:  0.187 Mic3:  0.146
14:00:12:028 -> Mic0:  0.128 Mic1:  0.118 Mic2:  0.194 Mic3:  0.130
14:00:12:127 -> Mic0:  0.140 Mic1:  0.216 Mic2:  0.209 Mic3:  0.156
